update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,72,6.4,32,12,0,0,0,0,0,0,4,0,1
2,120,6.44444,58,16,0,0,0,0,0,0,7,0,2
3,196,6.53333,98,21,0,0,0,0,0,0,11,0,4
4,188,6.66667,100,22,0,0,0,0,0,0,10,0,5
5,192,6.33333,114,25,0,0,0,0,0,0,15,0,3
6,252,6.34783,146,30,0,0,0,0,0,0,19,0,4
7,248,6.25,150,30,0,0,0,0,0,0,21,0,3
8,300,6.24,156,32,0,0,0,0,0,0,22,0,3
9,240,6.08333,146,34,0,0,0,0,0,0,23,0,1
10,312,6.2069,180,37,0,0,0,0,0,0,26,0,3
11,312,6.19355,192,40,0,0,0,0,0,0,28,0,3
12,268,6.34483,184,42,0,0,0,0,0,0,24,0,5
13,300,6.3871,198,43,0,0,0,0,0,0,25,0,6
14,340,6.30303,208,43,0,0,0,0,0,0,28,0,5
15,376,6.33333,228,43,0,0,0,0,0,0,30,0,6
16,360,6.47059,220,48,0,0,0,0,0,0,26,0,8
17,376,6.33333,228,50,0,0,0,0,0,0,30,0,6
18,440,6.25641,244,53,0,0,0,0,0,0,34,0,5
19,524,6.34146,260,56,0,0,0,0,0,0,34,0,7
20,508,6.43902,264,60,0,0,0,0,0,0,32,0,9
21,596,6.30435,290,62,0,0,0,0,0,0,39,0,7
22,632,6.41667,308,63,0,0,0,0,0,0,38,0,10
23,624,6.52174,300,67,0,0,0,0,0,0,34,0,12
24,532,6.4,288,68,0,0,0,0,0,0,36,0,9
25,708,6.19608,316,70,0,0,0,0,0,0,46,0,5
26,708,6.43137,328,73,0,0,0,0,0,0,40,0,11
27,752,6.42857,360,81,0,0,0,0,0,0,44,0,12
28,760,6.36667,382,86,0,0,0,0,0,0,49,0,11
29,768,6.41379,372,86,0,0,0,0,0,0,46,0,12
30,860,6.40678,378,87,0,0,0,0,0,0,47,0,12
31,820,6.36066,388,88,0,0,0,0,0,0,50,0,11
32,680,6.44444,348,88,0,0,0,0,0,0,42,0,12
33,836,6.46667,388,90,0,0,0,0,0,0,46,0,14
34,696,6.39344,390,94,0,0,0,0,0,0,49,0,12
35,892,6.34921,400,95,0,0,0,0,0,0,52,0,11
36,920,6.49231,422,97,0,0,0,0,0,0,49,0,16
37,908,6.50704,462,98,0,0,0,0,0,0,53,0,18
38,884,6.33846,412,98,0,0,0,0,0,0,54,0,11
39,948,6.37143,446,98,0,0,0,0,0,0,57,0,13
40,864,6.42623,392,98,0,0,0,0,0,0,48,0,13
41,828,6.42623,392,99,0,0,0,0,0,0,48,0,13
42,804,6.34286,444,100,0,0,0,0,0,0,58,0,12
43,764,6.32836,424,100,0,0,0,0,0,0,56,0,11
44,848,6.31746,398,100,0,0,0,0,0,0,53,0,10
45,964,6.38806,428,100,0,0,0,0,0,0,54,0,13
