update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,48,6,18,10,0,0,0,0,0,0,3,0,0
2,104,6.33333,38,12,0,0,0,0,0,0,5,0,1
3,112,6.28571,44,13,0,0,0,0,0,0,6,0,1
4,136,6.4,64,15,0,0,0,0,0,0,8,0,2
5,172,6.4,64,17,0,0,0,0,0,0,8,0,2
6,244,6.36364,70,19,0,0,0,0,0,0,9,0,2
7,340,6.26667,94,19,0,0,0,0,0,0,13,0,2
8,444,6.26667,94,23,0,0,0,0,0,0,13,0,2
9,436,6.23529,106,27,0,0,0,0,0,0,15,0,2
10,596,6.09524,128,33,0,0,0,0,0,0,20,0,1
11,324,6,126,33,0,0,0,0,0,0,21,0,0
12,332,6.08333,146,40,0,0,0,0,0,0,23,0,1
13,388,6.06897,176,48,0,0,0,0,0,0,28,0,1
14,396,6.06452,188,52,0,0,0,0,0,0,30,0,1
15,608,6.10526,232,58,0,0,0,0,0,0,36,0,2
16,508,6.19512,254,63,0,0,0,0,0,0,37,0,4
17,496,6.14634,252,66,0,0,0,0,0,0,38,0,3
18,668,6.17021,290,69,0,0,0,0,0,0,43,0,4
19,680,6.13043,282,74,0,0,0,0,0,0,43,0,3
20,840,6.11765,312,78,0,0,0,0,0,0,48,0,3
21,976,6.15094,326,79,0,0,0,0,0,0,49,0,4
22,672,6.19608,316,82,0,0,0,0,0,0,46,0,5
23,696,6.19231,322,82,0,0,0,0,0,0,47,0,5
24,760,6.16667,370,88,0,0,0,0,0,0,55,0,5
25,868,6.2,372,91,0,0,0,0,0,0,54,0,6
26,892,6.09091,402,93,0,0,0,0,0,0,63,0,3
27,832,6.09524,384,94,0,0,0,0,0,0,60,0,3
28,1032,6.08696,420,96,0,0,0,0,0,0,66,0,3
29,908,6.06452,376,98,0,0,0,0,0,0,60,0,2
30,900,6.09231,396,98,0,0,0,0,0,0,62,0,3
31,968,6.09091,402,98,0,0,0,0,0,0,63,0,3
32,880,6.12308,398,99,0,0,0,0,0,0,61,0,4
33,988,6.14286,430,100,0,0,0,0,0,0,65,0,5
34,952,6.19048,390,100,0,0,0,0,0,0,57,0,6
35,928,6.21212,410,100,0,0,0,0,0,0,59,0,7
36,944,6.21538,404,100,0,0,0,0,0,0,58,0,7
37,1008,6.20588,422,100,0,0,0,0,0,0,61,0,7
38,984,6.14706,418,100,0,0,0,0,0,0,63,0,5
39,1084,6.15152,406,100,0,0,0,0,0,0,61,0,5
