update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,80,6,30,10,0,0,0,0,0,0,5,0,0
2,96,6,36,10,0,0,0,0,0,0,6,0,0
3,108,6.28571,44,11,0,0,0,0,0,0,6,0,1
4,100,6.28571,44,13,0,0,0,0,0,0,6,0,1
5,140,6.2,62,15,0,0,0,0,0,0,9,0,1
6,180,6.16667,74,17,0,0,0,0,0,0,11,0,1
7,132,6.18182,68,21,0,0,0,0,0,0,10,0,1
8,192,6.25,100,23,0,0,0,0,0,0,14,0,2
9,236,6.22222,112,27,0,0,0,0,0,0,16,0,2
10,216,6.33333,114,27,0,0,0,0,0,0,15,0,3
11,280,6.28571,132,30,0,0,0,0,0,0,18,0,3
12,328,6.33333,152,34,0,0,0,0,0,0,20,0,4
13,324,6.33333,152,38,0,0,0,0,0,0,20,0,4
14,328,6.46154,168,40,0,0,0,0,0,0,20,0,6
15,368,6.5,182,45,0,0,0,0,0,0,21,0,7
16,376,6.33333,190,48,0,0,0,0,0,0,25,0,5
17,376,6.18182,204,51,0,0,0,0,0,0,30,0,3
18,476,6.36842,242,54,0,0,0,0,0,0,31,0,7
19,476,6.28571,264,56,0,0,0,0,0,0,36,0,6
20,440,6.2,248,57,0,0,0,0,0,0,36,0,4
21,552,6.31818,278,62,0,0,0,0,0,0,37,0,7
22,508,6.26667,282,66,0,0,0,0,0,0,39,0,6
23,468,6.41026,250,68,0,0,0,0,0,0,31,0,8
24,596,6.42553,302,72,0,0,0,0,0,0,37,0,10
25,564,6.40909,282,74,0,0,0,0,0,0,35,0,9
26,684,6.44,322,75,0,0,0,0,0,0,39,0,11
27,720,6.25926,338,78,0,0,0,0,0,0,47,0,7
28,656,6.28571,308,79,0,0,0,0,0,0,42,0,7
29,788,6.33962,336,82,0,0,0,0,0,0,44,0,9
30,704,6.36,318,84,0,0,0,0,0,0,41,0,9
31,848,6.25,300,87,0,0,0,0,0,0,42,0,6
32,824,6.24,312,88,0,0,0,0,0,0,44,0,6
33,868,6.18182,340,90,0,0,0,0,0,0,50,0,5
34,968,6.40741,346,90,0,0,0,0,0,0,43,0,11
35,1080,6.34483,368,92,0,0,0,0,0,0,48,0,10
36,1040,6.25,350,93,0,0,0,0,0,0,49,0,7
37,1016,6.23077,324,93,0,0,0,0,0,0,46,0,6
38,1116,6.28571,352,94,0,0,0,0,0,0,48,0,8
39,1280,6.32143,354,96,0,0,0,0,0,0,47,0,9
40,1104,6.33333,342,96,0,0,0,0,0,0,45,0,9
41,976,6.32787,386,97,0,0,0,0,0,0,51,0,10
42,808,6.36667,382,97,0,0,0,0,0,0,49,0,11
43,936,6.32258,392,97,0,0,0,0,0,0,52,0,10
44,1020,6.36923,414,97,0,0,0,0,0,0,53,0,12
45,1004,6.30769,410,98,0,0,0,0,0,0,55,0,10
46,876,6.34375,406,99,0,0,0,0,0,0,53,0,11
47,984,6.30769,410,99,0,0,0,0,0,0,55,0,10
48,884,6.26471,426,99,0,0,0,0,0,0,59,0,9
49,876,6.26866,420,99,0,0,0,0,0,0,58,0,9
50,908,6.32836,424,99,0,0,0,0,0,0,56,0,11
