update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,2,0,0,10,1,0,0,0,0,0,0,0,0,0
2,8,0,0,10,4,0,0,0,0,0,0,0,0,0
3,22,1.33333,8,11,5,0,0,0,0,0,0,0,1,0
4,22,1.33333,8,11,5,0,0,0,0,0,0,0,1,0
5,26,1,8,11,7,0,0,0,0,0,0,0,1,0
6,88,2.125,17,12,6,0,0,0,0,0,0,0,1,1
7,50,2.125,17,13,6,0,0,0,0,0,0,0,1,1
8,22,2.125,17,13,6,0,0,0,0,0,0,0,1,1
9,26,1,9,13,8,0,0,0,0,0,0,0,0,1
10,78,1,9,13,8,0,0,0,0,0,0,0,0,1
11,56,1,9,13,8,0,0,0,0,0,0,0,0,1
12,36,0.9,9,13,9,0,0,0,0,0,0,0,0,1
13,38,0.9,9,13,9,0,0,0,0,0,0,0,0,1
14,42,0,0,13,10,0,0,0,0,0,0,0,0,0
15,82,1,9,13,8,0,0,0,0,0,0,0,0,1
16,38,1,9,13,8,0,0,0,0,0,0,0,0,1
17,42,1,9,13,8,0,0,0,0,0,0,0,0,1
18,44,0,0,13,9,0,0,0,0,0,0,0,0,0
19,90,1.125,9,13,7,0,0,0,0,0,0,0,0,1
20,72,1.28571,9,13,6,0,0,0,0,0,0,0,0,1
21,44,1.28571,9,13,6,0,0,0,0,0,0,0,0,1
22,50,0,0,13,7,0,0,0,0,0,0,0,0,0
23,98,1.28571,9,14,6,0,0,0,0,0,0,0,0,1
24,64,1.5,9,14,5,0,0,0,0,0,0,0,0,1
25,36,1.5,9,14,5,0,0,0,0,0,0,0,0,1
26,36,1.5,9,14,5,0,0,0,0,0,0,0,0,1
27,88,1.5,9,14,5,0,0,0,0,0,0,0,0,1
28,70,1.28571,9,14,6,0,0,0,0,0,0,0,0,1
29,42,1.28571,9,14,6,0,0,0,0,0,0,0,0,1
30,44,1.28571,9,14,6,0,0,0,0,0,0,0,0,1
31,92,1.28571,9,14,6,0,0,0,0,0,0,0,0,1
32,74,1.28571,9,15,6,0,0,0,0,0,0,0,0,1
33,48,1.28571,9,15,6,0,0,0,0,0,0,0,0,1
34,48,1.28571,9,15,6,0,0,0,0,0,0,0,0,1
35,100,1.125,9,16,7,0,0,0,0,0,0,0,0,1
36,126,2.25,18,17,6,0,0,0,0,0,0,0,0,2
37,42,1,9,17,8,0,0,0,0,0,0,0,0,1
38,86,2.25,18,17,6,0,0,0,0,0,0,0,0,2
