update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
1,0,nan,0,10,0,0,0,0,0,0,0,0,0,0
2,44,9,9,11,0,0,0,0,0,0,0,0,0,1
3,24,9,9,12,0,0,0,0,0,0,0,0,0,1
4,48,9,27,14,0,0,0,0,0,0,0,0,0,3
5,48,9,36,15,0,0,0,0,0,0,0,0,0,4
6,68,9,36,16,0,0,0,0,0,0,0,0,0,4
7,72,9,45,17,0,0,0,0,0,0,0,0,0,5
8,96,9,63,20,0,0,0,0,0,0,0,0,0,7
9,164,9,81,22,0,0,0,0,0,0,0,0,0,9
10,248,9,72,24,0,0,0,0,0,0,0,0,0,8
11,212,9,81,27,0,0,0,0,0,0,0,0,0,9
12,372,9,108,31,0,0,0,0,0,0,0,0,0,12
13,372,9,108,33,0,0,0,0,0,0,0,0,0,12
14,528,9,144,38,0,0,0,0,0,0,0,0,0,16
15,648,9,162,45,0,0,0,0,0,0,0,0,0,18
16,856,9,162,47,0,0,0,0,0,0,0,0,0,18
17,660,9,198,51,0,0,0,0,0,0,0,0,0,22
18,640,9,225,54,0,0,0,0,0,0,0,0,0,25
19,848,9,261,60,0,0,0,0,0,0,0,0,0,29
20,692,9,261,63,0,0,0,0,0,0,0,0,0,29
21,840,9,252,65,0,0,0,0,0,0,0,0,0,28
22,940,9,279,71,0,0,0,0,0,0,0,0,0,31
23,1056,9,297,74,0,0,0,0,0,0,0,0,0,33
24,1092,9,306,80,0,0,0,0,0,0,0,0,0,34
25,1316,9,333,84,0,0,0,0,0,0,0,0,0,37
26,1484,9,351,89,0,0,0,0,0,0,0,0,0,39
27,1252,9,369,92,0,0,0,0,0,0,0,0,0,41
28,1452,9,387,93,0,0,0,0,0,0,0,0,0,43
29,1292,9,387,98,0,0,0,0,0,0,0,0,0,43
30,1628,9,414,99,0,0,0,0,0,0,0,0,0,46
31,1460,9,396,99,0,0,0,0,0,0,0,0,0,44
32,1496,9,378,99,0,0,0,0,0,0,0,0,0,42
33,1624,9,387,99,0,0,0,0,0,0,0,0,0,43
34,1756,9,396,100,0,0,0,0,0,0,0,0,0,44
35,1780,9,378,100,0,0,0,0,0,0,0,0,0,42
36,1632,9,387,100,0,0,0,0,0,0,0,0,0,43
37,1716,9,432,100,0,0,0,0,0,0,0,0,0,48
38,1672,9,450,100,0,0,0,0,0,0,0,0,0,50
39,1660,9,423,100,0,0,0,0,0,0,0,0,0,47
40,1500,9,387,100,0,0,0,0,0,0,0,0,0,43
41,1664,9,387,100,0,0,0,0,0,0,0,0,0,43
42,1344,9,396,100,0,0,0,0,0,0,0,0,0,44
43,1428,9,423,100,0,0,0,0,0,0,0,0,0,47
44,1440,9,459,100,0,0,0,0,0,0,0,0,0,51
45,1544,9,432,100,0,0,0,0,0,0,0,0,0,48
46,1716,9,432,100,0,0,0,0,0,0,0,0,0,48
47,2184,9,441,100,0,0,0,0,0,0,0,0,0,49
48,1648,9,396,100,0,0,0,0,0,0,0,0,0,44
49,1672,9,414,100,0,0,0,0,0,0,0,0,0,46
50,1788,9,414,100,0,0,0,0,0,0,0,0,0,46
51,1720,9,414,100,0,0,0,0,0,0,0,0,0,46
52,2152,9,432,100,0,0,0,0,0,0,0,0,0,48
53,3156,9,432,100,0,0,0,0,0,0,0,0,0,48
54,3256,9,405,100,0,0,0,0,0,0,0,0,0,45
55,2412,9,405,100,0,0,0,0,0,0,0,0,0,45
56,1484,9,396,100,0,0,0,0,0,0,0,0,0,44
57,1892,9,423,100,0,0,0,0,0,0,0,0,0,47
58,2392,9,414,100,0,0,0,0,0,0,0,0,0,46
59,2824,9,414,100,0,0,0,0,0,0,0,0,0,46
60,3088,9,459,100,0,0,0,0,0,0,0,0,0,51
61,2516,9,423,100,0,0,0,0,0,0,0,0,0,47
62,3240,9,441,100,0,0,0,0,0,0,0,0,0,49
63,3368,9,405,100,0,0,0,0,0,0,0,0,0,45
64,2728,9,432,100,0,0,0,0,0,0,0,0,0,48
65,3372,9,423,100,0,0,0,0,0,0,0,0,0,47
