update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,10,0,0,0,0,0,0,0,0,0
1,0,nan,0,10,0,0,0,0,0,0,0,0,0
2,0,nan,0,10,0,0,0,0,0,0,0,0,0
3,12,8,8,11,0,0,0,0,0,0,0,0,1
4,12,8,8,11,0,0,0,0,0,0,0,0,1
5,12,8,8,11,0,0,0,0,0,0,0,0,1
6,36,8,24,13,0,0,0,0,0,0,0,0,3
7,36,8,24,13,0,0,0,0,0,0,0,0,3
8,36,8,24,13,0,0,0,0,0,0,0,0,3
9,36,8,24,13,0,0,0,0,0,0,0,0,3
10,36,8,24,13,0,0,0,0,0,0,0,0,3
11,48,8,32,14,0,0,0,0,0,0,0,0,4
12,48,8,32,14,0,0,0,0,0,0,0,0,4
13,48,8,32,14,0,0,0,0,0,0,0,0,4
14,48,8,32,14,0,0,0,0,0,0,0,0,4
15,48,8,32,14,0,0,0,0,0,0,0,0,4
16,48,8,32,14,0,0,0,0,0,0,0,0,4
17,48,8,32,14,0,0,0,0,0,0,0,0,4
18,48,8,32,14,0,0,0,0,0,0,0,0,4
19,48,8,32,14,0,0,0,0,0,0,0,0,4
20,48,8,32,14,0,0,0,0,0,0,0,0,4
21,48,8,32,14,0,0,0,0,0,0,0,0,4
22,48,8,32,14,0,0,0,0,0,0,0,0,4
23,48,8,32,14,0,0,0,0,0,0,0,0,4
24,48,8,32,14,0,0,0,0,0,0,0,0,4
25,48,8,32,14,0,0,0,0,0,0,0,0,4
26,48,8,32,14,0,0,0,0,0,0,0,0,4
27,48,8,32,14,0,0,0,0,0,0,0,0,4
28,48,8,32,14,0,0,0,0,0,0,0,0,4
29,48,8,32,14,0,0,0,0,0,0,0,0,4
30,48,8,32,14,0,0,0,0,0,0,0,0,4
31,48,8,32,14,0,0,0,0,0,0,0,0,4
32,48,8,32,14,0,0,0,0,0,0,0,0,4
33,48,8,32,14,0,0,0,0,0,0,0,0,4
34,48,8,32,14,0,0,0,0,0,0,0,0,4
35,48,8,32,14,0,0,0,0,0,0,0,0,4
36,48,8,32,14,0,0,0,0,0,0,0,0,4
37,48,8,32,14,0,0,0,0,0,0,0,0,4
38,48,8,32,14,0,0,0,0,0,0,0,0,4
39,48,8,32,14,0,0,0,0,0,0,0,0,4
40,48,8,32,14,0,0,0,0,0,0,0,0,4
41,48,8,32,14,0,0,0,0,0,0,0,0,4
42,48,8,32,14,0,0,0,0,0,0,0,0,4
43,48,8,32,14,0,0,0,0,0,0,0,0,4
44,48,8,32,14,0,0,0,0,0,0,0,0,4
45,48,8,32,14,0,0,0,0,0,0,0,0,4
46,48,8,32,14,0,0,0,0,0,0,0,0,4
47,48,8,32,14,0,0,0,0,0,0,0,0,4
48,48,8,32,14,0,0,0,0,0,0,0,0,4
49,48,8,32,14,0,0,0,0,0,0,0,0,4
50,48,8,32,14,0,0,0,0,0,0,0,0,4
51,48,8,32,14,0,0,0,0,0,0,0,0,4
52,48,8,32,14,0,0,0,0,0,0,0,0,4
53,48,8,32,14,0,0,0,0,0,0,0,0,4
54,48,8,32,14,0,0,0,0,0,0,0,0,4
55,48,8,32,14,0,0,0,0,0,0,0,0,4
56,48,8,32,14,0,0,0,0,0,0,0,0,4
57,48,8,32,14,0,0,0,0,0,0,0,0,4
58,48,8,32,14,0,0,0,0,0,0,0,0,4
59,48,8,32,14,0,0,0,0,0,0,0,0,4
60,48,8,32,14,0,0,0,0,0,0,0,0,4
61,48,8,32,14,0,0,0,0,0,0,0,0,4
62,48,8,32,14,0,0,0,0,0,0,0,0,4
63,48,8,32,14,0,0,0,0,0,0,0,0,4
64,48,8,32,14,0,0,0,0,0,0,0,0,4
65,48,8,32,14,0,0,0,0,0,0,0,0,4
66,48,8,32,14,0,0,0,0,0,0,0,0,4
67,48,8,32,14,0,0,0,0,0,0,0,0,4
68,48,8,32,14,0,0,0,0,0,0,0,0,4
69,48,8,32,14,0,0,0,0,0,0,0,0,4
70,48,8,32,14,0,0,0,0,0,0,0,0,4
71,48,8,32,14,0,0,0,0,0,0,0,0,4
72,48,8,32,14,0,0,0,0,0,0,0,0,4
73,48,8,32,14,0,0,0,0,0,0,0,0,4
74,48,8,32,14,0,0,0,0,0,0,0,0,4
75,48,8,32,14,0,0,0,0,0,0,0,0,4
76,48,8,32,14,0,0,0,0,0,0,0,0,4
77,48,8,32,14,0,0,0,0,0,0,0,0,4
78,48,8,32,14,0,0,0,0,0,0,0,0,4
79,48,8,32,14,0,0,0,0,0,0,0,0,4
80,48,8,32,14,0,0,0,0,0,0,0,0,4
81,48,8,32,14,0,0,0,0,0,0,0,0,4
82,48,8,32,14,0,0,0,0,0,0,0,0,4
83,48,8,32,14,0,0,0,0,0,0,0,0,4
84,48,8,32,14,0,0,0,0,0,0,0,0,4
85,48,8,32,14,0,0,0,0,0,0,0,0,4
86,48,8,32,14,0,0,0,0,0,0,0,0,4
87,48,8,32,14,0,0,0,0,0,0,0,0,4
88,48,8,32,14,0,0,0,0,0,0,0,0,4
89,48,8,32,14,0,0,0,0,0,0,0,0,4
90,48,8,32,14,0,0,0,0,0,0,0,0,4
91,48,8,32,14,0,0,0,0,0,0,0,0,4
92,48,8,32,14,0,0,0,0,0,0,0,0,4
93,48,8,32,14,0,0,0,0,0,0,0,0,4
94,48,8,32,14,0,0,0,0,0,0,0,0,4
95,48,8,32,14,0,0,0,0,0,0,0,0,4
96,48,8,32,14,0,0,0,0,0,0,0,0,4
97,48,8,32,14,0,0,0,0,0,0,0,0,4
98,48,8,32,14,0,0,0,0,0,0,0,0,4
99,48,8,32,14,0,0,0,0,0,0,0,0,4
100,48,8,32,14,0,0,0,0,0,0,0,0,4
101,48,8,32,14,0,0,0,0,0,0,0,0,4
102,48,8,32,14,0,0,0,0,0,0,0,0,4
103,48,8,32,14,0,0,0,0,0,0,0,0,4
104,48,8,32,14,0,0,0,0,0,0,0,0,4
105,48,8,32,14,0,0,0,0,0,0,0,0,4
106,48,8,32,14,0,0,0,0,0,0,0,0,4
107,48,8,32,14,0,0,0,0,0,0,0,0,4
108,48,8,32,14,0,0,0,0,0,0,0,0,4
109,48,8,32,14,0,0,0,0,0,0,0,0,4
110,48,8,32,14,0,0,0,0,0,0,0,0,4
111,48,8,32,14,0,0,0,0,0,0,0,0,4
112,48,8,32,14,0,0,0,0,0,0,0,0,4
113,48,8,32,14,0,0,0,0,0,0,0,0,4
