update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9
0,0,nan,0,9,0,0,0,0,0,0,0,0,0,0
1,32,6,12,9,0,0,0,0,0,0,2,0,0,0
2,60,6,24,10,0,0,0,0,0,0,4,0,0,0
3,136,6.42857,45,11,0,0,0,0,0,0,6,0,0,1
4,240,6.42857,45,12,0,0,0,0,0,0,6,0,0,1
5,296,6.375,51,14,0,0,0,0,0,0,7,0,0,1
6,396,6.6,66,16,0,0,0,0,0,0,8,0,0,2
7,572,6.5,78,20,0,0,0,0,0,0,10,0,0,2
8,708,6.5,78,24,0,0,0,0,0,0,10,0,0,2
9,744,6.5625,105,25,0,0,0,0,0,0,13,0,0,3
10,920,6.88235,117,28,0,0,0,0,0,0,12,0,0,5
11,424,6.33333,114,29,0,0,0,0,0,0,16,0,0,2
12,576,6.70588,114,36,0,0,0,0,0,0,13,0,0,4
13,900,6.71429,141,40,0,0,0,0,0,0,16,0,0,5
14,744,6.71429,141,44,0,0,0,0,0,0,16,0,0,5
15,876,6.46154,168,49,0,0,0,0,0,0,22,0,0,4
16,1076,6.48387,201,54,0,0,0,0,0,0,26,0,0,5
17,1316,6.52941,222,60,0,0,0,0,0,0,28,0,0,6
18,1844,6.71053,255,61,0,0,0,0,0,0,29,0,0,9
19,1872,6.69231,261,65,0,0,0,0,0,0,30,0,0,9
20,1152,6.46154,252,69,0,0,0,0,0,0,33,0,0,6
21,1284,6.52174,300,71,0,0,0,0,0,0,38,0,0,8
22,1260,6.52174,300,78,0,0,0,0,0,0,38,0,0,8
23,1620,6.47059,330,82,0,0,0,0,0,0,43,0,0,8
24,1868,6.52941,333,86,0,0,0,0,0,0,42,0,0,9
25,2072,6.45763,381,88,0,0,0,0,0,0,50,0,0,9
26,2420,6.57895,375,89,0,0,0,0,0,0,46,0,0,11
27,2416,6.54545,360,91,0,0,0,0,0,0,45,0,0,10
28,2416,6.48,324,92,0,0,0,0,0,0,42,0,0,8
29,1980,6.47059,330,93,0,0,0,0,0,0,43,0,0,8
30,2144,6.63158,378,94,0,0,0,0,0,0,45,0,0,12
31,1712,6.56897,381,98,0,0,0,0,0,0,47,0,0,11
32,1752,6.45763,381,99,0,0,0,0,0,0,50,0,0,9
33,1720,6.51724,378,99,0,0,0,0,0,0,48,0,0,10
34,1820,6.52632,372,99,0,0,0,0,0,0,47,0,0,10
35,1604,6.35593,375,99,0,0,0,0,0,0,52,0,0,7
36,1180,6.3,378,99,0,0,0,0,0,0,54,0,0,6
37,1620,6.39344,390,99,0,0,0,0,0,0,53,0,0,8
38,1692,6.44828,374,99,0,0,0,0,0,0,49,0,1,8
39,1716,6.18033,377,100,0,0,0,0,0,0,57,0,1,3
40,1368,6.15,369,100,0,0,0,0,0,0,57,0,0,3
41,1648,6.31034,366,100,0,0,0,0,0,0,52,0,0,6
42,1420,6.3,378,100,0,0,0,0,0,0,54,0,0,6
43,1424,6.26786,351,100,0,0,0,0,0,0,51,0,0,5
44,900,6.10169,360,100,0,0,0,0,0,0,57,0,0,2
45,1140,6.14754,375,100,0,0,0,0,0,0,58,0,0,3
46,1088,6.16364,339,100,0,0,0,0,0,0,52,0,0,3
47,1132,6.15789,351,100,0,0,0,0,0,0,54,0,0,3
48,928,6.05085,357,100,0,0,0,0,0,0,58,0,0,1
49,1028,6.21053,354,100,0,0,0,0,0,0,53,0,0,4
50,844,6.10909,336,100,0,0,0,0,0,0,53,0,0,2
51,916,6.25862,363,100,0,0,0,0,0,0,53,0,0,5
52,924,6.25862,363,100,0,0,0,0,0,0,53,0,0,5
53,1076,6.10714,342,100,0,0,0,0,0,0,54,0,0,2
54,1008,6.2,372,100,0,0,0,0,0,0,56,0,0,4
55,996,6.19672,378,100,0,0,0,0,0,0,57,0,0,4
56,980,6.21538,404,100,0,0,0,0,0,0,60,0,1,4
57,996,6.29508,384,100,0,0,0,0,0,0,55,0,0,6
58,844,6.1,366,100,0,0,0,0,0,0,58,0,0,2
59,1060,6.29508,384,100,0,0,0,0,0,0,55,0,0,6
60,1044,6.05,363,100,0,0,0,0,0,0,59,0,0,1
61,1064,6.05,363,100,0,0,0,0,0,0,59,0,0,1
62,1092,6,354,100,0,0,0,0,0,0,59,0,0,0
63,1344,6.15,369,100,0,0,0,0,0,0,57,0,0,3
64,1120,6.09091,402,100,0,0,0,0,0,0,64,0,0,2
65,1140,6.09677,378,100,0,0,0,0,0,0,60,0,0,2
66,1016,6.05172,351,100,0,0,0,0,0,0,57,0,0,1
67,896,6,342,100,0,0,0,0,0,0,57,0,0,0
68,1100,6.14516,381,100,0,0,0,0,0,0,59,0,0,3
69,1036,6.10345,354,100,0,0,0,0,0,0,56,0,0,2
70,924,6.05455,333,100,0,0,0,0,0,0,54,0,0,1
71,1104,6.29032,390,100,0,0,0,0,0,0,56,0,0,6
72,1364,6.41379,372,100,0,0,0,0,0,0,50,0,0,8
73,1056,6.28302,333,100,0,0,0,0,0,0,48,0,0,5
74,1292,6.35593,375,100,0,0,0,0,0,0,52,0,0,7
75,1352,6.3,378,100,0,0,0,0,0,0,54,0,0,6
76,1104,6.27273,345,100,0,0,0,0,0,0,50,0,0,5
77,1244,6.3,378,100,0,0,0,0,0,0,54,0,0,6
78,988,6.10909,336,100,0,0,0,0,0,0,53,0,0,2
79,1116,6.2069,360,100,0,0,0,0,0,0,54,0,0,4
80,1216,6.25424,369,100,0,0,0,0,0,0,54,0,0,5
81,1232,6.19672,378,100,0,0,0,0,0,0,57,0,0,4
82,1548,6.32812,405,100,0,0,0,0,0,0,57,0,0,7
83,1396,6.14754,375,100,0,0,0,0,0,0,58,0,0,3
84,1436,6.39344,390,100,0,0,0,0,0,0,53,0,0,8
85,1200,6.42105,366,100,0,0,0,0,0,0,49,0,0,8
86,1124,6.31579,360,100,0,0,0,0,0,0,51,0,0,6
87,1108,6.33333,342,100,0,0,0,0,0,0,48,0,0,6
88,1164,6.25424,369,100,0,0,0,0,0,0,54,0,0,5
89,1164,6.25424,369,100,0,0,0,0,0,0,54,0,0,5
90,956,6.2,372,100,0,0,0,0,0,0,56,0,0,4
91,1100,6.25424,369,100,0,0,0,0,0,0,54,0,0,5
92,1132,6.42105,366,100,0,0,0,0,0,0,49,0,0,8
93,1016,6.26316,357,100,0,0,0,0,0,0,52,0,0,5
94,1180,6.42857,360,100,0,0,0,0,0,0,48,0,0,8
95,1312,6.31034,366,100,0,0,0,0,0,0,52,0,0,6
96,1344,6.26316,357,100,0,0,0,0,0,0,52,0,0,5
97,1600,6.34426,387,100,0,0,0,0,0,0,54,0,0,7
98,1440,6.38182,351,100,0,0,0,0,0,0,48,0,0,7
99,1776,6.51724,378,100,0,0,0,0,0,0,48,0,0,10
100,1628,6.55556,354,100,0,0,0,0,0,0,44,0,0,10
101,1924,6.53571,366,100,0,0,0,0,0,0,46,0,0,10
102,1464,6.43636,354,100,0,0,0,0,0,0,47,0,0,8
103,1396,6.35,381,100,0,0,0,0,0,0,53,0,0,7
104,1304,6.24194,387,100,0,0,0,0,0,0,57,0,0,5
105,1136,6.19355,384,100,0,0,0,0,0,0,58,0,0,4
106,1264,6.16071,345,100,0,0,0,0,0,0,53,0,0,3
107,1344,6.23077,405,100,0,0,0,0,0,0,60,0,0,5
108,1284,6.39344,390,100,0,0,0,0,0,0,53,0,0,8
109,1108,6.35,381,100,0,0,0,0,0,0,53,0,0,7
110,1196,6.4,384,100,0,0,0,0,0,0,52,0,0,8
111,1296,6.39344,390,100,0,0,0,0,0,0,53,0,0,8
112,1304,6.53571,366,100,0,0,0,0,0,0,46,0,0,10
113,1472,6.45763,381,100,0,0,0,0,0,0,50,0,0,9
114,1260,6.42857,360,100,0,0,0,0,0,0,48,0,0,8
115,1364,6.55,393,100,0,0,0,0,0,0,49,0,0,11
116,1376,6.62903,411,100,0,0,0,0,0,0,49,0,0,13
117,1324,6.49091,357,100,0,0,0,0,0,0,46,0,0,9
118,1540,6.375,408,100,0,0,0,0,0,0,56,0,0,8
119,1408,6.36842,363,100,0,0,0,0,0,0,50,0,0,7
120,1536,6.43548,399,100,0,0,0,0,0,0,53,0,0,9
121,1480,6.43548,399,100,0,0,0,0,0,0,53,0,0,9
122,1596,6.3,378,100,0,0,0,0,0,0,54,0,0,6
123,1648,6.29032,390,100,0,0,0,0,0,0,56,0,0,6
124,1284,6.14754,375,100,0,0,0,0,0,0,58,0,0,3
125,1292,6.19355,384,100,0,0,0,0,0,0,58,0,0,4
126,1316,6.3871,396,100,0,0,0,0,0,0,54,0,0,8
127,1392,6.32308,411,100,0,0,0,0,0,0,58,0,0,7
128,1424,6.33871,393,100,0,0,0,0,0,0,55,0,0,7
129,1440,6.47368,369,100,0,0,0,0,0,0,48,0,0,9
130,1516,6.38889,345,100,0,0,0,0,0,0,47,0,0,7
131,1476,6.49091,357,100,0,0,0,0,0,0,46,0,0,9
132,1404,6.49091,357,100,0,0,0,0,0,0,46,0,0,9
133,1652,6.7,402,100,0,0,0,0,0,0,46,0,0,14
134,1824,6.62069,384,100,0,0,0,0,0,0,46,0,0,12
