update,points,mean_tasks,total_tasks,total_orgs,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8
0,0,nan,0,8,0,0,0,0,0,0,0,0,0
1,80,6,30,8,0,0,0,0,0,0,5,0,0
2,124,6,36,9,0,0,0,0,0,0,6,0,0
3,132,6,42,11,0,0,0,0,0,0,7,0,0
4,152,6,54,13,0,0,0,0,0,0,9,0,0
5,168,6,60,16,0,0,0,0,0,0,10,0,0
6,224,6.16667,74,22,0,0,0,0,0,0,11,0,1
7,188,6.125,98,26,0,0,0,0,0,0,15,0,1
8,280,6.21053,118,32,0,0,0,0,0,0,17,0,2
9,420,6.07692,158,40,0,0,0,0,0,0,25,0,1
10,544,6.14286,172,45,0,0,0,0,0,0,26,0,2
11,656,6.05405,224,52,0,0,0,0,0,0,36,0,1
12,624,6.09756,250,62,0,0,0,0,0,0,39,0,2
13,656,6.22222,280,74,0,0,0,0,0,0,40,0,5
14,756,6.14815,332,79,0,0,0,0,0,0,50,0,4
15,752,6.22222,336,83,0,0,0,0,0,0,48,0,6
16,836,6.10714,342,85,0,0,0,0,0,0,53,0,3
17,772,6.14286,344,87,0,0,0,0,0,0,52,0,4
18,904,6.20339,366,89,0,0,0,0,0,0,53,0,6
19,996,6.27586,364,89,0,0,0,0,0,0,50,0,8
20,948,6.26316,357,92,0,0,0,0,0,0,49,1,7
21,1056,6.2931,365,94,0,0,0,0,0,0,49,1,8
22,964,6.29091,346,94,0,0,0,0,0,0,47,0,8
23,812,6.14545,338,95,0,0,0,0,0,0,51,0,4
24,908,6.13793,356,97,0,0,0,0,0,0,54,0,4
25,1028,6.0678,358,98,0,0,0,0,0,0,57,0,2
26,992,6.14545,338,99,0,0,0,0,0,0,51,0,4
27,1108,6.16949,364,100,0,0,0,0,0,0,54,0,5
28,1060,6.13793,356,100,0,0,0,0,0,0,54,0,4
29,968,6.12903,380,100,0,0,0,0,0,0,58,0,4
30,1052,6.15873,388,100,0,0,0,0,0,0,58,0,5
31,1260,6.14706,418,100,0,0,0,0,0,0,63,0,5
32,1092,6.12698,386,100,0,0,0,0,0,0,59,0,4
33,1152,6.16129,382,100,0,0,0,0,0,0,57,0,5
34,1232,6.10169,360,100,0,0,0,0,0,0,56,0,3
35,1268,6.18519,334,100,0,0,0,0,0,0,49,0,5
36,1184,6.10345,354,100,0,0,0,0,0,0,55,0,3
37,1272,6.07143,340,100,0,0,0,0,0,0,54,0,2
38,1404,6.07273,334,100,0,0,0,0,0,0,53,0,2
39,1348,6,330,100,0,0,0,0,0,0,55,0,0
40,1308,6.0678,358,100,0,0,0,0,0,0,57,0,2
41,1092,6.07407,328,100,0,0,0,0,0,0,52,0,2
42,1348,6.06667,364,100,0,0,0,0,0,0,58,0,2
43,1204,6.14545,338,100,0,0,0,0,0,0,51,0,4
44,1044,6.07018,346,100,0,0,0,0,0,0,55,0,2
45,1148,6.10169,360,100,0,0,0,0,0,0,56,0,3
46,1084,6.0678,358,100,0,0,0,0,0,0,57,0,2
47,1164,6.03774,320,100,0,0,0,0,0,0,52,0,1
48,1008,6.10714,342,100,0,0,0,0,0,0,53,0,3
49,864,6.11538,318,100,0,0,0,0,0,0,49,0,3
50,1000,6.14545,338,100,0,0,0,0,0,0,51,0,4
